Operation, HighFuelCosts, DispatchGen, 'S-Biomass_IGCC':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Biomass_IGCC':4, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Biomass_IGCC':5, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Biomass_IGCC':6, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Biomass_IGCC':7, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Biomass_IGCC_CCS':1, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Biomass_IGCC_CCS':2, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Biomass_IGCC_CCS':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Biomass_IGCC_CCS':4, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Biomass_IGCC_CCS':5, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Biomass_IGCC_CCS':6, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Biomass_IGCC_CCS':7, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Central_PV-1':1, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Central_PV-1':2, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Central_PV-1':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Central_PV-1':4, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Central_PV-1':5, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Central_PV-1':6, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Central_PV-1':7, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Central_PV-2':1, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Central_PV-2':2, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Central_PV-2':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Central_PV-2':4, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Central_PV-2':5, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Central_PV-2':6, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Central_PV-2':7, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Commercial_PV':1, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Commercial_PV':2, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Commercial_PV':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Commercial_PV':4, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Commercial_PV':5, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Commercial_PV':6, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Commercial_PV':7, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-Geothermal':1, 2.90574225
Operation, HighFuelCosts, DispatchGen, 'S-Geothermal':2, 2.90574225
Operation, HighFuelCosts, DispatchGen, 'S-Geothermal':3, 2.90574225
Operation, HighFuelCosts, DispatchGen, 'S-Geothermal':4, 2.90574225
Operation, HighFuelCosts, DispatchGen, 'S-Geothermal':5, 2.90574225
Operation, HighFuelCosts, DispatchGen, 'S-Geothermal':6, 2.90574225
Operation, HighFuelCosts, DispatchGen, 'S-Geothermal':7, 2.90574225
Operation, HighFuelCosts, DispatchGen, 'S-NG_CC':1, 3.43005500449
Operation, HighFuelCosts, DispatchGen, 'S-NG_CC':2, 4.48602121357
Operation, HighFuelCosts, DispatchGen, 'S-NG_CC':3, 3.95803810903
Operation, HighFuelCosts, DispatchGen, 'S-NG_CC':4, 4.69721445539
Operation, HighFuelCosts, DispatchGen, 'S-NG_CC':5, 4.7
Operation, HighFuelCosts, DispatchGen, 'S-NG_CC':6, 4.7
Operation, HighFuelCosts, DispatchGen, 'S-NG_CC':7, 0.604417552318
Operation, HighFuelCosts, DispatchGen, 'S-NG_CC_CCS':1, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-NG_CC_CCS':2, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-NG_CC_CCS':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-NG_CC_CCS':4, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-NG_CC_CCS':5, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-NG_CC_CCS':6, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-NG_CC_CCS':7, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-NG_GT':1, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-NG_GT':2, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-NG_GT':3, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-NG_GT':4, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-NG_GT':5, 0.0
Operation, HighFuelCosts, DispatchGen, 'S-NG_GT':6, 1.88
Operation, HighFuelCosts, DispatchGen, 'S-NG_GT':7, 0.0
