load_zone	fuel	period_temp	fuel_cost
Guangxi	ResidualFuelOil_CCS	2031	16.762
Guangxi	ResidualFuelOil_CCS	2036	18.857248678
Guangxi	Uranium	2016	2.198
Guangxi	Uranium	2021	2.202
Guangxi	Uranium	2026	2.202
Guangxi	Uranium	2031	2.2
Guangxi	Uranium	2036	2.591611722
Guizhou	Bio_Solid	2016	2.028500431
Guizhou	Bio_Solid	2021	2.028500431
Guizhou	Bio_Solid	2026	2.028500431
Guizhou	Bio_Solid	2031	2.028500431
Guizhou	Bio_Solid	2036	2.028500431
Guizhou	Bio_Solid_CCS	2016	2.028500431
Guizhou	Bio_Solid_CCS	2021	2.028500431
Guizhou	Bio_Solid_CCS	2026	2.028500431
Guizhou	Bio_Solid_CCS	2031	2.028500431
Guizhou	Bio_Solid_CCS	2036	2.028500431
Guizhou	Coal	2016	6.0518918858
Guizhou	Coal	2021	6.3622783392
Guizhou	Coal	2026	6.6855438984
Guizhou	Coal	2031	7.0268402062
Guizhou	Coal	2036	7.3694066024
Guizhou	Coal_CCS	2016	6.0518918858
Guizhou	Coal_CCS	2021	6.3622783392
Guizhou	Coal_CCS	2026	6.6855438984
Guizhou	Coal_CCS	2031	7.0268402062
Guizhou	Coal_CCS	2036	7.3694066024
Guizhou	DistillateFuelOil	2016	18.804
Guizhou	DistillateFuelOil	2021	20.612
Guizhou	DistillateFuelOil	2026	21.892
Guizhou	DistillateFuelOil	2031	22.568
Guizhou	DistillateFuelOil	2036	24.73028897
Guizhou	DistillateFuelOil_CCS	2016	18.804
Guizhou	DistillateFuelOil_CCS	2021	20.612
Guizhou	DistillateFuelOil_CCS	2026	21.892
Guizhou	DistillateFuelOil_CCS	2031	22.568
Guizhou	DistillateFuelOil_CCS	2036	24.73028897
Guizhou	Gas	2016	13.148208292
Guizhou	Gas	2021	14.831222524
Guizhou	Gas	2026	16.525130052
Guizhou	Gas	2031	17.766965796
Guizhou	Gas	2036	18.67264782
Guizhou	Gas_CCS	2016	13.148208292
Guizhou	Gas_CCS	2021	14.831222524
Guizhou	Gas_CCS	2026	16.525130052
Guizhou	Gas_CCS	2031	17.766965796
Guizhou	Gas_CCS	2036	18.67264782
Guizhou	ResidualFuelOil	2016	14.346
Guizhou	ResidualFuelOil	2021	15.704
Guizhou	ResidualFuelOil	2026	16.756
Guizhou	ResidualFuelOil	2031	16.762
Guizhou	ResidualFuelOil	2036	18.857248678
Guizhou	ResidualFuelOil_CCS	2016	14.346
Guizhou	ResidualFuelOil_CCS	2021	15.704
Guizhou	ResidualFuelOil_CCS	2026	16.756
Guizhou	ResidualFuelOil_CCS	2031	16.762
Guizhou	ResidualFuelOil_CCS	2036	18.857248678
Guizhou	Uranium	2016	2.198
Guizhou	Uranium	2021	2.202
Guizhou	Uranium	2026	2.202
Guizhou	Uranium	2031	2.2
Guizhou	Uranium	2036	2.591611722
Hainan	Bio_Solid	2016	2.028500431
Hainan	Bio_Solid	2021	2.028500431
Hainan	Bio_Solid	2026	2.028500431
Hainan	Bio_Solid	2031	2.028500431
Hainan	Bio_Solid	2036	2.028500431
Hainan	Bio_Solid_CCS	2016	2.028500431
Hainan	Bio_Solid_CCS	2021	2.028500431
Hainan	Bio_Solid_CCS	2026	2.028500431
Hainan	Bio_Solid_CCS	2031	2.028500431
Hainan	Bio_Solid_CCS	2036	2.028500431
Hainan	Coal	2016	6.0518918858
Hainan	Coal	2021	6.3622783392
Hainan	Coal	2026	6.6855438984
Hainan	Coal	2031	7.0268402062
Hainan	Coal	2036	7.3694066024
Hainan	Coal_CCS	2016	6.0518918858
Hainan	Coal_CCS	2021	6.3622783392
Hainan	Coal_CCS	2026	6.6855438984
Hainan	Coal_CCS	2031	7.0268402062
Hainan	Coal_CCS	2036	7.3694066024
Hainan	DistillateFuelOil	2016	18.804
Hainan	DistillateFuelOil	2021	20.612
Hainan	DistillateFuelOil	2026	21.892
Hainan	DistillateFuelOil	2031	22.568
Hainan	DistillateFuelOil	2036	24.73028897
Hainan	DistillateFuelOil_CCS	2016	18.804
Hainan	DistillateFuelOil_CCS	2021	20.612
Hainan	DistillateFuelOil_CCS	2026	21.892
Hainan	DistillateFuelOil_CCS	2031	22.568
Hainan	DistillateFuelOil_CCS	2036	24.73028897
Hainan	Gas	2016	13.148208292
Hainan	Gas	2021	14.831222524
Hainan	Gas	2026	16.525130052
Hainan	Gas	2031	17.766965796
Hainan	Gas	2036	18.67264782
Hainan	Gas_CCS	2016	13.148208292
Hainan	Gas_CCS	2021	14.831222524
Hainan	Gas_CCS	2026	16.525130052
Hainan	Gas_CCS	2031	17.766965796
Hainan	Gas_CCS	2036	18.67264782
Hainan	ResidualFuelOil	2016	14.346
Hainan	ResidualFuelOil	2021	15.704
Hainan	ResidualFuelOil	2026	16.756
